ID	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
ESCC046T5	0.0584826106209996	0.0175072566553051	0.123413146555802	0.00150916373417546	0.0212081931910475	0.0536128927552596	0	0.0114412616719382	0	0	0	0.0418145055243975	0	0	0.0190774480682051	0.110263586457842	0	0.0843578463187894	0	0.433439021743937	0.00309206590706338	0.0207810007952381	0.04	0.191990338380965	1.06576025161682
ESCC047N	0.0450237234850806	0.0143680354755762	0.0493606978073121	0.0797653436572461	0	0.244266774222812	0.0287715299007781	0	0	0	0.100493498487176	0	0.00155204892863625	0	0.0595590104932711	0.100484592601409	0.0421947513960946	0.0136352410152956	0	0.110180486359001	0.0701569014279766	0.0401873647423345	0.0600000000000001	0.130042116331727	1.02975337925013
ESCC047T1	0	0.123876320900056	0.147360662479956	0	0.0530573634691035	0.0457192044521394	0	0.0157399460030309	0	0	0	0.0191518740465765	0	0	0.0648419241537136	0.0321957255938675	0.068014781018532	0.0222772800941141	0	0.328379470371323	0.0381323410261981	0.0412531063913889	0	0.297417051154835	0.983327228167723
ESCC047T2	0.0738665607356924	0	0.0455812850015756	0	0.0805316513603589	0.0845913152260987	0	0.0386112125445138	0	0	0	0.0821594959989739	0.0097820296125662	0	0.0611886774519281	0.0260729051662073	0.0133075284011151	0.00439140438813946	0	0.460228631479314	0.0196873026335164	0	0.07	0.116270805814614	1.12155900709295
ESCC047T3	0	0.0760600068765449	0.061097942895639	0	0.0614826214145035	0.0304554827449379	0	0.0227376198805698	0	0	0	0.0379619745371237	0	0.00234213950232105	0.0411839720078998	0.0184496476502999	0.0126661087770593	0.0450069628987125	0	0.535659032346683	0.0144739910083685	0.0404224974593368	0.07	0.115112438709888	1.14626888467851
ESCC047T4	0	0	0.020199229158058	0	0.0409948393080974	0.0253259539492367	0	0	0	0	0	0.0167642252395965	0	0.0914476031493182	0.0906779840215132	0.0293085294703076	0	0	0	0.66350175470566	0.00606475755687256	0.0157151234413398	0.04	0.164284058691908	1.1927329046237
ESCC047T5	0	0.0551202713190426	0.0398889664216676	0.0118808896019136	0.0205986047869198	0.0118024938581143	0	0.0195987456782978	0	0	0	0.0214797427607993	0	0	0.0143356559905637	0.0783925637966427	0	0.0682208954227717	0	0.629754662081615	0.0073745080823917	0.02155200019926	0.13	0.0736462466761683	1.21989700977031
ESCC048N	0.047526055108667	0.126706291317969	0.0278832513654462	0.0234146600910229	0.0180042390213975	0.119231413199995	0	0.0037365297495595	0	0	0	0.0260258893056037	0	0	0	0.165423764651895	0	0.0106308639157227	0	0.400895043393604	0.00278280911869048	0.0277391897604264	0.02	0.219973964016207	1.03429547137052
ESCC048T1	0.0222239230398967	0.00271793344961335	0.0272635851326615	0	0.0156746174972162	0.0584617611210652	0	0.0143612871482983	0	0	0.0246731940275555	0	0	0.0303897224365888	0	0.0977640009086399	0	0.0458090400163446	0	0.608896391759695	0.0206357643703371	0.0311287790920879	0.04	0.172500240020345	1.14309731691939
ESCC048T2	0.0969359809098148	0	0.147679090243429	0	0.0620388305146198	0.0451487948958264	0.0238237200268589	0.00270420962537727	0	0	0.0373117867884643	0	0	0.0426132191266723	0.00779106390264335	0.0831151675471771	0	0.0655402324716496	0	0.326198801556684	0	0.0590991023907837	0	0.266977537532847	0.99735362118624
ESCC048T3	0.0953298537834365	0.0602882482115174	0.0601958480300764	0.0333483907479616	0.0518937123210934	0.0831322200578119	0.0501397439076637	0	0	0	0.0663402866001678	0	0	0.0751723357220492	0	0.133231246022318	0	0.0730043358738303	0.0858395667479071	0.100253795901074	0	0.0318304160730922	0	0.291863518638504	0.961717330578576
ESCC048T4	0.101339511586163	0.0948363182305599	0.0356547774516574	0.00877385352563743	0.0229766413792956	0.174055190751763	0.0150498371013347	0	0	0	0.0603052790112507	0	0	0.0132372189020187	0	0.0595354903102082	0	0.0600859185744965	0	0.319400247295801	0	0.0347497158798139	0.01	0.256008674694637	0.997313916344473
ESCC048T5	0.0370254706762451	0	0.0859860094962152	0.008062477781561	0.026176856594849	0.0654425422334434	0	0.0135019134172917	0	0	0.0147822165904245	0	0	0.0884376884094246	0.00335770903358167	0.106760780712743	0	0.0462145182086066	0	0.462862017977388	0	0.0413897988682262	0.05	0.137927548718742	1.10074682706839
ESCC049N	0.375039430270564	0.122262341216714	0.00915691946281562	0.0174143667623408	0.00122413856053123	0.123879316311586	0	0.000687999816745799	0	0	0	0	0	0.00452043165685826	0.0105043335603436	0.162891058970905	0	0.00368481996238303	0.0318999564079022	0.126655641120521	0.0101792459197884	0	0	0.491332159408408	0.873445508874749
ESCC049T1	0	0.144139934908156	0.132596042403293	0	0	0.086280360064381	0	0.0446867988836993	0	0	0	0.0356763850410308	0	0.0528284333954097	0.020467357312452	0.0905034128935756	0.00881770520920053	0.0349480198906723	0	0.313242777161139	0.0232290476345008	0.0125837252024907	0	0.314351978535369	0.971823016113164
ESCC049T2	0.019166190765309	0.195286390866189	0.00977044966829694	0	0	0.150300178369638	0.0093467255533152	0.0217708469140882	0	0	0.0546780720714118	0	0	0.0223902550909408	0.0581715326897966	0.105409978585772	0	0.0252629106694667	0	0.190359562837942	0	0.138086905917834	0	0.269270258499121	0.977932538714226
ESCC049T3	0	0.0294744370385724	0.123787492530342	0.0568618120439933	0	0.120773007948771	0.0442892801529765	0	0	0	0.0846473498094641	0	0	0.0937065937535856	0.0422575207173021	0.0428761459975542	0	0.0347822349818485	0	0.275498320800854	0	0.0510458042247368	0.04	0.192263965383963	1.02329392955027
ESCC049T4	0	0.0302508062985829	0.0735962989910117	0.0287310986010482	0.0689588019752119	0.0850388496409533	0	0	0	0	0	0.0721377362586286	0	0.0240067275614675	0.018361539159268	0.27179120734778	0	0.00957710097950649	0	0.279964279155349	0.00737622539291244	0.0302093286382808	0.0600000000000001	0.1343612117308	1.0534740899621
ESCC049T5	0	0.0438258176601967	0.0534556227472488	0.00705547191998658	0.0692384248480826	0.0221542846109543	0	0.00929698720769506	0	0	0.0369314364182227	0	0	0	0.000668942953483931	0.169692511319022	0.011089280495838	0.0380342149513864	0	0.330702110983233	0.0906847031306528	0.117170190753997	0.0600000000000001	0.128179205987324	1.06371400074096
ESCC050N	0	0.277300664795285	0.108525451709698	0.0132601059390275	0	0.113300241400633	0.0376865286560493	0.0370937774152774	0	0	0.0160811824464161	0	0	0.00639986620952846	0.0836491885501811	0.0681382524196563	0.0542778374274335	0.0509690710188071	0.0522878472478307	0.0670506741626037	0	0.0139793106015723	0	0.472765185713978	0.880390376043584
ESCC050T1	0	0.0447106863523655	0.217295682498163	0.0690573750377577	0.0616423347901344	0.0367709505434868	0.031140855556959	0.0355145081306483	0	0	0	0	0	0.0612644264071407	0.0712046416046697	0.061154209665219	0	0.242339354522869	0	0.0339147255953253	0.00261540028110853	0.0313748490141524	0	0.33693136753259	0.957026501883004
ESCC050T2	0	0.281175712444034	0.113636126788372	0.0675788436309216	0.00411980456530707	4.79971196673337e-05	0.0572907006381647	0.0150763560136241	0.00620113632629602	0	0.0183239326756933	0.00545591420426277	0	0.0171758886461458	0.117784492750147	0.156548259915026	0	0.0654553271904416	0	0.0348591444692176	0	0.0392703626226792	0	0.460895924684859	0.887215304138732
ESCC050T3	0.00161948152089187	0.310107045333173	0.185439950488235	0	0	0.0565991670493197	0.0242396782941823	0.09078351728672	0	0	0.0535687024434235	0	0.00383804452145372	0.0079982824041252	0.0394448195921147	0.0535581986719587	0	0.053662771319232	0	0.089944369886425	0	0.0291959711887457	0	0.522493595614712	0.852266460349679
ESCC050T4	0.0296474226697189	0.325112309502254	0.0892448187291757	0.0192297032786814	0	0.0748490931284844	0.0158866975953379	0.0537075624085204	0	0	0.0142912493824949	0	0	0.0593615161407916	0.0977939870850626	0.105447999448623	0.0203355501240618	0.0154245488208927	0.0142288056360223	0.0545854633332477	0	0.0108532727166304	0	0.495381466367294	0.867860699576256
ESCC050T5	0	0.113220395207579	0.317035079553728	0.0210526416726284	0.0183123680688911	0	0.0646570372978998	0.0392589446241673	0	0	0.0308208914961165	0.0181318966434588	0	0	0.0199185472672508	0.0488622949174817	0	0.159900708353654	0	0.082412829044675	0	0.0664163658524694	0	0.461487987110009	0.894896042680652
ESCC051N	0	0.0852343891272051	0.0636189626048728	0.0511948294571302	0.0499079046275097	0.108135725735825	0	0.0671142631260344	0	0	0.0218069600678656	0.0213731043822491	0.0118386077602628	0	0.144340246332855	0.0377001737009296	0.180811866621619	0.0575156524271703	0.026637807155898	0.0701445359227161	0	0.00262497094985663	0.3	0.0368719993915946	1.07282336705877
ESCC051T1	0	0.0220502934873032	0.207845427456467	0	0.0973955275420227	0.0136205270397585	0.00575045241252048	0	0	0	0.0415409102922885	0	0.0738647140089957	0.0141491025601055	0.0138310182292095	0.147479181562995	0	0.031193499743964	0	0.328525478024283	0	0.00275386764008664	0	0.277155673408781	0.995331488394442
